pair_id,pivot_x,pivot_y,topk,rep_id
8,776,1161,0,0
8,776,1161,1,0
8,776,1161,2,0
8,776,1161,3,0
8,776,1161,4,0
41,3186,959,0,0
41,3186,959,1,0
41,3186,959,2,0
41,3186,959,3,0
41,3186,959,4,0
42,3186,1272,0,0
42,3186,1272,1,0
42,3186,1272,2,0
42,3186,1272,3,0
42,3186,1272,4,0
54,3758,3159,0,2
54,3758,3159,1,2
54,3758,3159,2,2
54,3758,3159,3,2
54,3758,3159,4,2
78,5423,1121,0,0
78,5423,1121,1,0
78,5423,1121,2,0
78,5423,1121,3,0
78,5423,1121,4,0
79,5423,6994,0,0
79,5423,6994,1,0
79,5423,6994,2,0
79,5423,6994,3,0
79,5423,6994,4,0
80,5423,1121,0,0
80,5423,1121,1,0
80,5423,1121,2,0
80,5423,1121,3,0
80,5423,1121,4,0
81,5423,1121,0,0
81,5423,1121,1,0
81,5423,1121,2,0
81,5423,1121,3,0
81,5423,1121,4,0
8,776,1161,0,0
8,776,1161,1,0
8,776,1161,2,0
8,776,1161,3,0
8,776,1161,4,0
41,3186,959,0,0
41,3186,959,1,0
41,3186,959,2,0
41,3186,959,3,0
41,3186,959,4,0
42,3186,1272,0,0
42,3186,1272,1,0
42,3186,1272,2,0
42,3186,1272,3,0
42,3186,1272,4,0
54,3758,3159,0,2
54,3758,3159,1,2
54,3758,3159,2,2
54,3758,3159,3,2
54,3758,3159,4,2
78,5423,1121,0,0
78,5423,1121,1,0
78,5423,1121,2,0
78,5423,1121,3,0
78,5423,1121,4,0
79,5423,6994,0,0
79,5423,6994,1,0
79,5423,6994,2,0
79,5423,6994,3,0
79,5423,6994,4,0
80,5423,1121,0,0
80,5423,1121,1,0
80,5423,1121,2,0
80,5423,1121,3,0
80,5423,1121,4,0
81,5423,1121,0,0
81,5423,1121,1,0
81,5423,1121,2,0
81,5423,1121,3,0
81,5423,1121,4,0
8,776,1161,0,0
8,776,1161,1,0
8,776,1161,2,0
8,776,1161,3,0
8,776,1161,4,0
41,3186,959,0,0
41,3186,959,1,0
41,3186,959,2,0
41,3186,959,3,0
41,3186,959,4,0
42,3186,1272,0,0
42,3186,1272,1,0
42,3186,1272,2,0
42,3186,1272,3,0
42,3186,1272,4,0
54,3758,3159,0,2
54,3758,3159,1,2
54,3758,3159,2,2
54,3758,3159,3,2
54,3758,3159,4,2
78,5423,1121,0,0
78,5423,1121,1,0
78,5423,1121,2,0
78,5423,1121,3,0
78,5423,1121,4,0
79,5423,6994,0,0
79,5423,6994,1,0
79,5423,6994,2,0
79,5423,6994,3,0
79,5423,6994,4,0
80,5423,1121,0,0
80,5423,1121,1,0
80,5423,1121,2,0
80,5423,1121,3,0
80,5423,1121,4,0
81,5423,1121,0,0
81,5423,1121,1,0
81,5423,1121,2,0
81,5423,1121,3,0
81,5423,1121,4,0
8,776,1161,0,0
8,776,1161,1,0
8,776,1161,2,0
8,776,1161,3,0
8,776,1161,4,0
41,3186,959,0,0
41,3186,959,1,0
41,3186,959,2,0
41,3186,959,3,0
41,3186,959,4,0
42,3186,1272,0,0
42,3186,1272,1,0
42,3186,1272,2,0
42,3186,1272,3,0
42,3186,1272,4,0
54,3758,3159,0,2
54,3758,3159,1,2
54,3758,3159,2,2
54,3758,3159,3,2
54,3758,3159,4,2
78,5423,1121,0,0
78,5423,1121,1,0
78,5423,1121,2,0
78,5423,1121,3,0
78,5423,1121,4,0
79,5423,6994,0,0
79,5423,6994,1,0
79,5423,6994,2,0
79,5423,6994,3,0
79,5423,6994,4,0
80,5423,1121,0,0
80,5423,1121,1,0
80,5423,1121,2,0
80,5423,1121,3,0
80,5423,1121,4,0
81,5423,1121,0,0
81,5423,1121,1,0
81,5423,1121,2,0
81,5423,1121,3,0
81,5423,1121,4,0
