pair_id,pivot_x,pivot_y,topk,rep_id,explanation_score,source_id:int,target_id:int,label_id:int
8,776,1161,0,0,0.8845582943996239,776,1161,0
8,776,1161,0,0,0.8845582943996239,776,1161,0
8,776,1161,1,0,0.8845582943996239,776,1161,0
8,776,1161,1,0,0.8845582943996239,776,1161,0
8,776,1161,2,0,0.8845582943996239,776,1161,0
8,776,1161,2,0,0.8845582943996239,776,1161,0
8,776,1161,3,0,0.8845582943996239,776,1161,0
8,776,1161,3,0,0.8845582943996239,776,1161,0
8,776,1161,4,0,0.8845582943996239,776,1161,0
8,776,1161,4,0,0.8845582943996239,776,1161,0
8,776,1161,5,0,0.8845582943996239,776,1161,0
8,776,1161,5,0,0.8845582943996239,776,1161,0
8,776,1161,6,0,0.8845582943996239,776,1161,0
8,776,1161,6,0,0.8845582943996239,776,1161,0
8,776,1161,7,0,0.8845582943996239,776,1161,0
8,776,1161,7,0,0.8845582943996239,776,1161,0
8,776,1161,8,0,0.8845582943996239,776,1161,0
8,776,1161,8,0,0.8845582943996239,776,1161,0
8,776,1161,9,0,0.8744761909424699,776,1161,0
8,776,1161,9,0,0.8744761909424699,776,1121,0
41,3186,959,0,0,1.000001,3186,959,0
41,3186,959,0,0,1.000001,3186,1272,0
41,3186,959,1,0,0.13671337904880976,3186,959,0
41,3186,959,1,0,0.13671337904880976,3186,959,0
41,3186,959,2,0,0.13671337904880976,3186,959,0
41,3186,959,2,0,0.13671337904880976,3186,959,0
41,3186,959,3,0,0.13671337904880976,3186,959,0
41,3186,959,3,0,0.13671337904880976,3186,959,0
41,3186,959,4,0,0.13671337904880976,3186,959,0
41,3186,959,4,0,0.13671337904880976,3186,959,0
41,3186,959,5,0,0.13671337904880976,3186,959,0
41,3186,959,5,0,0.13671337904880976,3186,959,0
41,3186,959,6,0,0.13671337904880976,3186,959,0
41,3186,959,6,0,0.13671337904880976,3186,959,0
41,3186,959,7,0,0.13671337904880976,3186,959,0
41,3186,959,7,0,0.13671337904880976,3186,959,0
41,3186,959,8,0,0.13671337904880976,3186,959,0
41,3186,959,8,0,0.13671337904880976,3186,959,0
41,3186,959,9,0,0.13671337904880976,3186,959,0
41,3186,959,9,0,0.13671337904880976,3186,959,0
42,3186,1272,0,0,0.13671337904880976,3186,1272,0
42,3186,1272,0,0,0.13671337904880976,3186,959,0
42,3186,1272,1,0,0.13671337904880976,3186,1272,0
42,3186,1272,1,0,0.13671337904880976,3186,959,0
42,3186,1272,2,0,0.13671337904880976,3186,1272,0
42,3186,1272,2,0,0.13671337904880976,3186,959,0
42,3186,1272,3,0,0.13671337904880976,3186,1272,0
42,3186,1272,3,0,0.13671337904880976,3186,959,0
42,3186,1272,4,0,0.13671337904880976,3186,1272,0
42,3186,1272,4,0,0.13671337904880976,3186,959,0
42,3186,1272,5,0,0.13671337904880976,3186,1272,0
42,3186,1272,5,0,0.13671337904880976,3186,959,0
42,3186,1272,6,0,0.13671337904880976,3186,1272,0
42,3186,1272,6,0,0.13671337904880976,3186,959,0
42,3186,1272,7,0,0.13671337904880976,3186,1272,0
42,3186,1272,7,0,0.13671337904880976,3186,959,0
42,3186,1272,8,0,0.13671337904880976,3186,1272,0
42,3186,1272,8,0,0.13671337904880976,3186,959,0
