Entity_Name,Entity_ID,Type_Name,Type_ID
10_Downing_Street,0,Government,1
A.K._Singh,1,Person,0
A.P._Sharma,2,Person,0
AB_Lithuanian_Gas,3,Person,0
ACT_Party,4,Political Party,3
ADF-NALU,5,Location/Other,8
AIDESEP,6,Location/Other,8
AK_Singh,7,Person,0
ANC_Youth_League,8,Political Party,3
ANS_Group_of_Companies,9,Organization,4
ASEAN_Defense_Ministers,10,Military,2
AT&T,11,Location/Other,8
Aafia_Siddiqui,12,Person,0
Aam_Aadmi_Party,13,Political Party,3
Aamir_Khan,14,Person,0
Abbas_Medlej,15,Person,0
Abbot_(Thailand),16,Person,0
Abdallah_al-Maatouq,17,Person,0
Abdel_Fattah_Al-Sisi,18,Person,0
Abdelhamid_Abou_Zeid,19,Person,0
Abdelilah_Benkirane,20,Person,0
Abdelkader_Messahel,21,Person,0
Abdelkader_Taleb_Oumar,22,Person,0
Abdeslam_Bouchouareb,23,Person,0
Abdi_Shakur_Sheikh_Hassan,24,Person,0
Abdikarim_Hussein_Guled,25,Person,0
Abdirahman_Ducaale_Bayle,26,Person,0
Abdirahman_Mohamed_Farole,27,Person,0
Abdiweli_Shaykh_Ahmad,28,Person,0
Abdiweli_Sheikh_Ahmed,29,Person,0
Abdol-Reza_Mesri,30,Person,0
Abdolreza_Rahmani-Fazli,31,Person,0
Abdou_Labo,32,Person,0
Abdoulaye_Bathily,33,Person,0
Abdoulaye_Diop,34,Person,0
Abdoulaye_Seck,35,Person,0
Abdoulaye_Wade,36,Person,0
Abdul'aziz_Abubakar_Yari,37,Person,0
Abdul_Aziz,38,Person,0
Abdul_Hamid,39,Person,0
Abdul_Kalam,40,Person,0
Abdul_Karim_Tunda,41,Person,0
Abdul_Madzhid,42,Person,0
Abdul_Rahim_Wardak,43,Person,0
Abdulla_Yameen,44,Person,0
Abdullah_Abdullah,45,Person,0
Abdullah_Gül,46,Person,0
Abdullah_bin_Nasser_bin_Khalifa_Al-Thani,47,Person,0
Abdullatif_Al-Zayani,48,Person,0
Abdullatif_bin_Rashid_Al-Zayani,49,Person,0
Abdulrahman_Kinana,50,Person,0
Abdulsalami_Alhaji_Abubakar,51,Person,0
Abhisit_Vejjajiva,52,Person,0
Aborigine,53,Location/Other,8
Abraham_Tekeste,54,Person,0
Abu_Azmi,55,Person,0
Abu_Bakr_Abdullah_al-Qirbi,56,Person,0
Abu_Bakr_al-Baghdadi,57,Person,0
Abu_Dhabi_Education_Council,58,Organization,4
Abu_Misry_Mama,59,Person,0
Abu_Musab_al-Zarqawi,60,Person,0
Abu_Salem,61,Person,0
Abu_Sayyaf,62,Person,0
Abu_al-Walid,63,Person,0
Academic_Staff_Union_of_Universities,64,Political Party,3
Aceh,65,Location/Other,8
Achike_Udenwa,66,Person,0
ActionAid,67,Location/Other,8
Activist_(Aceh),68,Person,0
Activist_(Algeria),69,Person,0
Activist_(Azerbaijan),70,Person,0
Activist_(Belarus),71,Person,0
Activist_(Cambodia),72,Person,0
Activist_(Colombia),73,Person,0
Activist_(Communist_Party_of_India),74,Person,0
Activist_(Cote_d'Ivoire),75,Person,0
Activist_(Crimea),76,Person,0
Activist_(Cuba),77,Person,0
Activist_(Czech_Republic),78,Person,0
Activist_(Democractic_Party_of_Cote_d'Ivoire_-_African_Democratic_Rally),79,Person,0
Activist_(Ethiopia),80,Person,0
Activist_(France),81,Person,0
Activist_(Germany),82,Person,0
Activist_(Hezbul_Mujahedeen),83,Person,0
Activist_(Hungary),84,Person,0
Activist_(Iraq),85,Person,0
Activist_(Islami_Chhatra_Shibir),86,Person,0
Activist_(Jamaat_I_Islami),87,Person,0
Activist_(Jatiya_(national)_Party),88,Person,0
Activist_(Kuwait),89,Person,0
Activist_(Kyrgyzstan),90,Person,0
Activist_(Liberal_Democrats),91,Person,0
Activist_(Likud),92,Person,0
Activist_(Namibia),93,Person,0
Activist_(Netherlands),94,Person,0
Activist_(Niger),95,Person,0
Activist_(Nigeria),96,Person,0
Activist_(Sahrawi_people),97,Person,0
Activist_(Shiv_Sena),98,Person,0
Activist_(Somalia),99,Person,0
Activist_(Sri_Lanka),100,Person,0
Activist_(Syria),101,Person,0
Activist_(Thailand),102,Person,0
Activist_(United_States),103,Person,0
Activist_(Western_Sahara),104,Person,0
Activist_(Zambia),105,Person,0
Actor_(Bahrain),106,Person,0
Actor_(Congo),107,Person,0
Actor_(France),108,Person,0
Actor_(Gabon),109,Person,0
Actor_(Haiti),110,Person,0
Actor_(Hong_Kong),111,Person,0
Actor_(Hungary),112,Person,0
Actor_(Philippines),113,Person,0
Actor_(Russia),114,Person,0
Actor_(Serbia),115,Person,0
Actor_(Slovakia),116,Person,0
Actor_(Syria),117,Person,0
Actor_(United_Kingdom),118,Person,0
Adam_Kighoma_Malima,119,Person,0
Adam_Sultanovich_Delimkhanov,120,Person,0
Adama_Dieng,121,Person,0
Adams_Oshiomhole,122,Person,0
Adebisi_Akande,123,Person,0
Adel_Adawy,124,Person,0
Adel_Labib,125,Person,0
Aderenle_Shinaba,126,Person,0
Adil_Abdul-Mahdi,127,Person,0
Adilbek_Dzhaksybekov,128,Person,0
Adli_Mansour,129,Person,0
Administrative_Body_(India),130,Person,0
Administrative_Department_of_Security,131,Government,1
Admiral_(Central_African_Republic),132,Military,2
Admiral_(China),133,Military,2
Admiral_(France),134,Military,2
Admiral_(India),135,Military,2
Admiral_(Iran),136,Military,2
Admiral_(Latvia),137,Military,2
Admiral_(Pakistan),138,Military,2
Admiral_(Romania),139,Military,2
Admiral_(Russia),140,Military,2
Admiral_(Sweden),141,Military,2
Adrian_Edwards,142,Person,0
Aero_Vodochody,143,Person,0
Afenifere,144,Location/Other,8
Afghan_National_Army,145,Military,2
Afghanistan,146,Location/Other,8
Afonso_Pedro_Canga,147,Person,0
African_Christian_Democratic_Party,148,Political Party,3
African_Commission_on_Human_and_People's_Rights,149,Government,1
African_Union,150,Organization,4
Agence_France-Presse,151,Media,7
Aggrey_Tisa_Sabuni,152,Person,0
Agriculture_/_Fishing_/_Forestry_Ministry_(Belarus),153,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(Brazil),154,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(China),155,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(Fiji),156,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(Laos),157,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(Liberia),158,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(Namibia),159,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(Netherlands),160,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(Pakistan),161,Government,1
"Agriculture_/_Fishing_/_Forestry_Ministry_(Palestinian_Territory,_Occupied)",162,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(Senegal),163,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(Sierra_Leone),164,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(South_Africa),165,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(South_Korea),166,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(Sudan),167,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(United_Kingdom),168,Government,1
Agriculture_/_Fishing_/_Forestry_Ministry_(Vietnam),169,Government,1
Agus_Dwikarna,170,Person,0
Agustín_Rossi,171,Person,0
Ahmad_Chalabi,172,Person,0
Ahmad_Fatfat,173,Person,0
Ahmad_Khalaf_al-Dulaimi,174,Person,0
Ahmad_Majdalani,175,Person,0
Ahmad_Mohamed_Ibrahim,176,Person,0
Ahmad_Muhammad_Ali,177,Person,0
Ahmad_Umar,178,Person,0
Ahmad_Zahid_Hamidi,179,Person,0
Ahmad_Zia_Abdulzai,180,Person,0
Ahmadu_Bello_University,181,Education,6
Ahmadu_Giade,182,Person,0
Ahmed_Abu_Khatallah,183,Person,0
Ahmed_Ezz,184,Person,0
Ahmed_Nejib_Chebbi,185,Person,0
Ahmed_Ould_Teguedi,186,Person,0
Ahmed_Zaki,187,Person,0
Ahmed_bin_Daghr,188,Person,0
Aigars_Kalvitis,189,Person,0
Ainars_Slesers,190,Person,0
Air_Force_(Angola),191,Military,2
Air_Force_(Australia),192,Military,2
Air_Force_(Canada),193,Military,2
Air_Force_(Iran),194,Military,2
Air_Force_(Iraq),195,Military,2
Air_Force_(Jordan),196,Military,2
Air_Force_(Mexico),197,Military,2
Air_Force_(North_Korea),198,Military,2
